Date,Open,High,Low,Close,Volume
2020-10-29,1.29967,1.30254,1.28804,1.28891,506370
2020-10-30,1.28891,1.29879,1.28824,1.29318,476659
2020-10-31,1.29317,1.29648,1.29286,1.29472,103722
2020-11-02,1.29243,1.29424,1.28538,1.29094,348352
2020-11-03,1.29093,1.30708,1.28896,1.30679,293639
2020-11-04,1.3068,1.31397,1.2914,1.29902,853483
2020-11-05,1.29895,1.31122,1.29299,1.31108,645087
2020-11-06,1.31111,1.31567,1.30788,1.31486,696932
2020-11-07,1.31487,1.31769,1.31375,1.31477,133980
2020-11-09,1.31592,1.32078,1.31196,1.31517,713089
2020-11-10,1.31516,1.32778,1.31179,1.32491,717957
2020-11-11,1.32491,1.33132,1.31908,1.31965,318278
2020-11-12,1.31963,1.32281,1.31245,1.31284,247231
2020-11-13,1.31285,1.31866,1.31061,1.31584,210783
2020-11-14,1.31582,1.31996,1.31567,1.31983,37030
2020-11-16,1.3166,1.3242,1.31652,1.31779,169962
2020-11-17,1.31773,1.32725,1.31748,1.32591,178923
2020-11-18,1.32588,1.33121,1.32389,1.33023,143771
2020-11-19,1.33023,1.33043,1.31957,1.32256,194627
2020-11-20,1.32256,1.32963,1.32118,1.3286,173701
2020-11-21,1.32859,1.32975,1.3262,1.32817,32903
2020-11-23,1.32927,1.33975,1.328,1.32939,138474
2020-11-24,1.32937,1.33801,1.32633,1.33549,194002
2020-11-25,1.33547,1.33931,1.33038,1.33781,186497
2020-11-26,1.33783,1.33975,1.33217,1.33285,118352
2020-11-27,1.33284,1.33814,1.3311,1.33416,157618
2020-11-28,1.33415,1.33526,1.32875,1.33068,82499
2020-11-30,1.3331,1.33846,1.33048,1.33514,163656
2020-12-01,1.33514,1.34071,1.33153,1.33601,191546
2020-12-02,1.33601,1.3442,1.32872,1.33249,236711
2020-12-03,1.33249,1.34995,1.33242,1.34982,211937
2020-12-04,1.34981,1.35391,1.34098,1.34732,278239
2020-12-05,1.3473,1.34938,1.34198,1.34332,58974
2020-12-07,1.34092,1.34373,1.32243,1.3313,182991
2020-12-08,1.33132,1.34054,1.32887,1.33603,275580
2020-12-09,1.33603,1.34778,1.3337,1.33963,194405
2020-12-10,1.33963,1.34108,1.3245,1.32739,241099
2020-12-11,1.32746,1.33239,1.31339,1.32155,242562
2020-12-12,1.32158,1.32333,1.31888,1.32203,45780
2020-12-14,1.33603,1.34451,1.32897,1.33168,154340
2020-12-15,1.33167,1.34025,1.32798,1.33977,190616
2020-12-16,1.33978,1.35545,1.33825,1.34992,183348
2020-12-17,1.34992,1.36236,1.34506,1.35934,124361
2020-12-18,1.35935,1.36244,1.34712,1.34853,134008
2020-12-19,1.34854,1.35326,1.3478,1.35142,38612
